R1;CUPS;Número (ID5);Póliza;Autoconsumo;CAU;Es servicios auxiliares;Coordenada X;Coordenada Y;Coordenada Z;Nudo;Provincia;Municipio;Parroquia/población;CT AA conectividad;Línea;Tramo;Fase;Tensión alimentación (kV);Tipo instalación (conexión);Pot. contratada (kW);Pot. máxima;Potencia instalada (adscrita) (kW);Tarifa;Tipo equipo medida;Fecha de instalación equipo de medida;Código CNAE;Casa cerrada;Fecha alta contrato;Fecha baja contrato;Observaciones;Coordenada X Z29;Coordenada Y Z29;Coordenada X Z31;Coordenada Y Z31;Sustituye a;Sustituido por;Inspección;CT AA manual;Excluido conectividad;Digitalizar;infra_id
R1-112;ES0157000040601012BA0F;KAM0019248496;40601012;;;;335604,356;4082875,05;426;0484459462LB368775313;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000459;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870415,302;4089355,606;-199711,901;4110135,538;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040601049NV;KAM0027614142;40601049;;;;335693,355;4082826,04;438;0484358587LB368771053;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000434;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870507,33;4089312,228;-199625,684;4110080,696;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040601087ZD;KAM0026733922;40601087;;;;335641,355;4082846,05;433;0484417339LB368772765;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000443;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870454,103;4089328,952;-199676,606;4110104,081;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040601235CL0F;KAM0019878266;40601235;;;;335578,356;4082874,05;425;0484488600LB368775178;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000467;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870389,381;4089352,97;-199738,061;4110136,185;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040601358AG0F;KAM0026733977;40601358;;;;335615,356;4082871,05;426;0484447039LB368774972;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000456;;0,23;Fachada;5,75;;;2.0TD;SMT;;9820;0;12/07/2022 11:48;;;870426,547;4089352,3;-199701,114;4110130,824;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040601360AY0F;KAM0027613391;40601360;;;;335600,356;4082869,05;427,277;0484463818LB368774766;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000462;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870411,682;4089349,358;-199716,297;4110129,769;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040601542BG0F;29577450;40601542;;;;335595,356;4082877,05;425;0484469599LB368775478;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000460;;0,23;Fachada;5,75;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870406,182;4089357,038;-199720,807;4110138,116;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041500640WD;KAM0027594430;41500640;;;;335472,355;4082735,05;435;0484604467LB368762470;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000577;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;08/08/2022 10:55;;;870292,195;4089207,385;-199853,279;4110003,4;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041500641WX;KAM0027594383;41500641;;;;335475,355;4082732,05;440;0484601037LB368762205;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000579;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870295,382;4089204,575;-199850,458;4110000,199;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000041500643WN0F;KAM0027594387;41500643;;;;335476,355;4082744,05;441;0484600176LB368763288;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000591;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870295,626;4089216,631;-199848,693;4110012,18;;;;CT28 DEPOSITO AGUA;;;
